PERMIT_NUMBER,NAME,LOCATION_NAME,ADDRESS,LATITUDE,LONGITUDE,CITY_NAME,ZIP_CODE,CURRENT_GRADE,CURRENT_DEMERITS,SEARCH_TEXT
PR0000002,McDonald's #3549 D HOTEL,D HOTEL - McDonalds #3549,301 Fremont St,36.1693903,-115.1430844,Las Vegas,89101-5600,A,0,McDonald's #3549 D HOTEL McDonalds 3549 D HOTEL
PR0000003,McDonald's #5551,McDonalds Corporation,4400 E Charleston Blvd,36.159439,-115.0797598,Las Vegas,89104-5506,A,3,McDonald's #5551 McDonalds 5551
PR0000004,McDonald's #7675,McDonalds #7675 Rancho & Cheyenne,3175 N Rancho Dr,36.216778,-115.212427,Las Vegas,89130-3302,A,3,McDonald's #7675 McDonalds 7675
PR0000005,McDonald's 2922,McDonalds 2922,2020 N Rainbow Blvd,36.1963982,-115.2407699,Las Vegas,89108-7049,A,0,McDonald's 2922 McDonalds 2922
PR0000006,McDonald's #3153 Plaza,Plaza Hotel - McDonalds,1 S Main St,36.1721756,-115.1468294,Las Vegas,89101-6370,A,6,McDonald's #3153 Plaza McDonalds 3153 Plaza
PR0000007,McDonald's Restaurant #7060,McDonald's Restaurant #7060,10590 Southern Highlands Pkwy,35.9972854,-115.2069333,Las Vegas,89141-4373,A,6,McDonald's Restaurant #7060 McDonalds Restaurant 7060
PR0000009,Larry's Villa Bar & Lounge,Larrys Villa,2401 W Bonanza Rd,36.1766478,-115.1740901,Las Vegas,89106-4774,A,8,Larry's Villa Bar & Lounge Larrys Villa Bar  Lounge
PR0000010,Larry's Villa Snack Bar,Larrys Villa,2401 W Bonanza Rd,36.1766478,-115.1740901,Las Vegas,89106-4774,A,0,Larry's Villa Snack Bar Larrys Villa Snack Bar
PR0000011,PEPPERMILL LOUNGE,PEPPERMILL,2985 S Las Vegas Blvd,36.133616,-115.162998,Las Vegas,89109-1930,A,3,PEPPERMILL LOUNGE PEPPERMILL LOUNGE
PR0000012,PEPPERMILL RESTAURANT,PEPPERMILL,2985 S Las Vegas Blvd,36.133616,-115.162998,Las Vegas,89109-1930,A,3,PEPPERMILL RESTAURANT PEPPERMILL RESTAURANT
PR0000013,PEPPERMILL COOK LINE,PEPPERMILL,2985 S Las Vegas Blvd,36.133616,-115.162998,Las Vegas,89109-1930,A,6,PEPPERMILL COOK LINE PEPPERMILL COOK LINE
PR0000014,MARIE CALLENDERS RESTAURANT,MARIE CALLENDERS RESTAURANT AND BAKERY,600 E Sahara Ave,36.144354,-115.1463323,Las Vegas,89104-2967,A,8,MARIE CALLENDERS RESTAURANT MARIE CALLENDERS RESTAURANT
PR0000016,Marie Callender's Restaurant / Bakery,Marie Callender's Restaurant/Bakery,3081 N Rainbow Blvd,36.2161667,-115.2424001,Las Vegas,89108-4577,A,3,Marie Callender's Restaurant / Bakery Marie Callenders Restaurant  Bakery
PR0000017,BPO Lodge #1468 Main Kitchen,BPOE Lodge #1468,4100 W Charleston Blvd,36.159543,-115.196056,Las Vegas,89102-1623,A,3,BPO Lodge #1468 Main Kitchen BPO Lodge 1468 Main Kitchen
PR0000018,BPO Lodge #1468 Bar,BPOE Lodge #1468,4100 W Charleston Blvd,36.159543,-115.196056,Las Vegas,89102-1623,A,3,BPO Lodge #1468 Bar BPO Lodge 1468 Bar
PR0000020,BPO Lodge #1468 Service Bar,BPOE Lodge #1468,4100 W Charleston Blvd,36.159543,-115.196056,Las Vegas,89102-1623,A,0,BPO Lodge #1468 Service Bar BPO Lodge 1468 Service Bar
PR0000021,BOOTLEGGER CASA DI COPA ROOM,BOOTLEGGER,7700 S Las Vegas Blvd 1,36.0491749,-115.1714501,Las Vegas,89123-1757,A,8,BOOTLEGGER CASA DI COPA ROOM BOOTLEGGER CASA DI COPA ROOM
PR0000022,BOOTLEGGER - CASA DI COPA BAR,BOOTLEGGER,7700 S Las Vegas Blvd 1,36.0491749,-115.1714501,Las Vegas,89123-1757,A,0,BOOTLEGGER - CASA DI COPA BAR BOOTLEGGER  CASA DI COPA BAR
